id,title,rating_num,votes_num,stars_list,directors_list,writers_list,star_fame,director_fame,writer_fame,combined_fame,star_profile_tier,director_profile_tier,writer_profile_tier,n_stars,n_directors,n_writers
tt1620981,The Addams Family,5.8,47000.0,"['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', 'Finn Wolfhard', 'Nick Kroll', 'Snoop Dogg', 'Bette Midler', 'Allison Janney', 'Martin Short', ""Catherine O'Hara""]","['Greg Tiernan', 'Conrad Vernon']","['Matt Lieberman', 'Erica Rivinoja', 'Conrad Vernon']",46.0,6.0,5.0,19.0,Low-profile,Low-profile,Low-profile,10,2,3
tt0117338,Picnic,7.1,2400.0,"['Chara', 'Tadanobu Asano', 'Koichi Hashizume', 'Naomasa Musaka', 'Fujiko Yamamoto', 'Shifumi Yamaguchi', 'Takaaki Kabuto', 'Kazue Itô', 'Keiichi Suzuki', 'Sumi Mutoh']",['Shunji Iwai'],['Shunji Iwai'],25.0,7.0,8.0,13.333333333333334,Low-profile,Low-profile,Low-profile,10,1,1
tt0835034,A Four Letter Word,5.3,928.0,"['Jesse Archer', 'Paul Haje', 'Charlie David', 'Cory Grant', 'Steven M. Goldsmith', 'J.R. Rolley', 'Virginia Bryan', 'Jeremy Gender', 'Allison Lane', 'Aaron Star']",['Casper Andreas'],"['Casper Andreas', 'Jesse Archer']",3.0,5.0,3.0,3.6666666666666665,Low-profile,Low-profile,Low-profile,10,1,2
tt0960144,You Don't Mess with the Zohan,5.6,220000.0,"['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Ido Mosseri', 'Rob Schneider', 'Dave Matthews', 'Michael Buffer', 'Charlotte Rae']",['Dennis Dugan'],"['Adam Sandler', 'Robert Smigel', 'Judd Apatow']",57.0,16.0,15.0,29.333333333333332,Low-profile,Low-profile,Low-profile,10,1,3
tt10948718,The Heist of the Century,7.1,11000.0,"['Guillermo Francella', 'Diego Peretti', 'Luis Luque', 'Pablo Rago', 'Rafael Ferro', 'Mariano Argento', 'Juan Alari', 'Fabián Arenillas', 'Darío Levy', 'Magela Zanotta']",['Ariel Winograd'],"['Alex Zito', 'Fernando Araujo', 'Rodolfo Palacio']",7.0,3.0,1.0,3.6666666666666665,Low-profile,Low-profile,Low-profile,10,1,3
tt0023469,The Sign of Four: Sherlock Holmes' Greatest Case,5.8,665.0,"['Arthur Wontner', 'Isla Bevan', 'Ian Hunter', 'Graham Soutten', 'Miles Malleson', 'Herbert Lomas', 'Gilbert Davis', 'Margaret Yarde', 'Roy Emerton', 'Mr. Burnhett']",['Graham Cutts'],"['Arthur Conan Doyle', 'W.P. Lipscomb']",78.0,22.0,49.0,49.666666666666664,High-profile,Low-profile,High-profile,10,1,2
tt0120631,Ever After: A Cinderella Story,7.1,84000.0,"['Drew Barrymore', 'Anjelica Huston', 'Dougray Scott', 'Patrick Godfrey', 'Megan Dodds', 'Melanie Lynskey', 'Timothy West', 'Judy Parfitt', 'Jeroen Krabbé', 'Lee Ingleby']",['Andy Tennant'],"['Susannah Grant', 'Andy Tennant', 'Rick Parks']",45.0,10.0,10.0,21.666666666666668,Low-profile,Low-profile,Low-profile,10,1,3
tt28352066,Once Within a Time,5.7,218.0,"['Apollo Garcia Orellana', 'Tara Khozein', 'John Flax', 'Brian Belott', 'Sussan Deyhim', 'Mike Tyson', 'Ella Acevedo', 'Aaron Kingsley Adetola', 'Dorothy Bloomgarden', 'Max A. Clifford']","['Godfrey Reggio', 'Jon Kane']",['Godfrey Reggio'],13.0,5.0,5.0,7.666666666666667,Low-profile,Low-profile,Low-profile,10,2,1
tt1130844,Karnabal,8.0,8.0,"['Fernando Poe Jr.', 'Susan Roces', 'Paquito Diaz', 'Max Alvarado', 'Chichay', 'Lito Anzures', 'Dencio Padilla', 'Frankie Navaja Jr.', 'Vic Varrion', 'Resty Sandel']","[""Manuel 'Fyke' Cinco""]","['Fernando Poe Jr.', 'Fred Navarro']",25.0,3.0,8.0,12.0,Low-profile,Low-profile,Low-profile,10,1,2
tt1680045,360,6.1,18000.0,"['Rachel Weisz', 'Jude Law', 'Anthony Hopkins', 'Ben Foster', 'Lucia Siposová', 'Gabriela Marcinková', 'Johannes Krisch', 'Danica Jurcová', 'Peter Morgan', 'Moritz Bleibtreu']",['Fernando Meirelles'],"['Peter Morgan', 'Arthur Schnitzler']",79.0,5.0,18.0,34.0,High-profile,Low-profile,Low-profile,10,1,2
tt1972779,The Best of Me,6.7,79000.0,"['James Marsden', 'Michelle Monaghan', 'Luke Bracey', 'Liana Liberato', 'Gerald McRaney', 'Caroline Goodall', 'Clarke Peters', 'Sebastian Arcelus', 'Jon Tenney', 'Sean Bridgers']",['Michael Hoffman'],"['Nicholas Sparks', 'Will Fetters', 'J. Mills Goodloe']",43.0,12.0,11.0,22.0,Low-profile,Low-profile,Low-profile,10,1,3
tt0039655,New Orleans,6.8,711.0,"['Arturo de Córdova', 'Dorothy Patrick', 'Marjorie Lord', 'Irene Rich', 'John Alexander', 'Richard Hageman', 'Jack Lambert', 'Bert Conway', 'Joan Blair', 'John Canady']",['Arthur Lubin'],"['Elliot Paul', 'Dick Irving Hyland', 'Herbert J. Biberman']",79.0,56.0,9.0,48.0,High-profile,High-profile,Low-profile,10,1,3
tt1216520,Womb,6.3,16000.0,"['Eva Green', 'Matt Smith', 'Lesley Manville', 'Peter Wight', 'István Lénárt', 'Hannah Murray', 'Ruby O. Fee', 'Tristan Christopher', 'Jesse Hoffmann', 'Natalia Tena']",['Benedek Fliegauf'],['Benedek Fliegauf'],18.0,1.0,1.0,6.666666666666667,Low-profile,Low-profile,Low-profile,10,1,1
