year,month,star_count,runtime,averageRating
1968,9,10,1.0,6.9
1942,4,10,1.0,6.7
1931,12,10,4.0,6.4
1976,2,10,1.0,7.1
1946,5,10,1.0,6.0
1945,5,10,56.0,6.7
1992,7,10,1.0,6.8
2009,9,10,1.0,6.5
1950,12,10,1.0,6.9
1967,2,10,1.0,4.9
2015,12,10,1.0,4.9
2014,9,10,1.0,5.9
1941,8,10,1.0,6.6
1940,4,10,2.0,8.1
1989,9,10,1.0,5.9
1936,1,10,1.0,6.5
1997,8,10,1.0,7.1
1970,4,10,1.0,6.1
1946,9,10,56.0,5.9
1989,12,10,1.0,6.1
1992,9,1,1.0,7.7
1999,8,10,1.0,5.4
1925,12,10,1.0,6.5
2016,12,10,2.0,7.8
1987,1,10,1.0,6.4
1993,12,10,1.0,3.7
2012,8,10,1.0,6.2
1998,11,10,2.0,6.7
1945,11,10,1.0,5.5
1958,6,10,2.0,7.7
2020,8,10,1.0,6.9
1979,9,10,1.0,7.5
1999,10,10,1.0,6.8
1968,9,10,2.0,7.4
2004,5,10,1.0,4.6
1946,1,10,1.0,6.9
1975,12,10,1.0,4.2
1944,12,10,1.0,6.2
1959,10,1,1.0,5.7
1998,2,10,1.0,6.4
2008,12,10,1.0,6.6
2007,6,10,1.0,6.6
1949,10,10,1.0,6.2
1952,2,10,1.0,6.2
2011,4,10,1.0,4.6
2005,11,10,1.0,5.5
1993,11,10,1.0,5.6
1986,10,10,1.0,7.4
1994,9,10,1.0,6.0
1969,3,10,1.0,7.2
1998,2,10,1.0,5.1
1952,4,10,1.0,5.3
1952,11,10,1.0,6.2
1974,2,10,1.0,4.6
1964,3,10,1.0,7.1
1977,3,10,1.0,6.8
1951,9,10,1.0,4.8
2009,5,5,1.0,7.7
1944,5,10,1.0,4.1
1984,10,10,1.0,6.1
2015,11,10,1.0,7.1
1922,9,10,1.0,6.3
2015,11,10,1.0,7.4
2007,10,10,2.0,6.1
1946,9,10,1.0,5.9
1994,7,10,47.0,5.8
1963,1,10,1.0,5.3
1986,5,10,1.0,5.0
1942,8,10,1.0,6.8
2021,9,10,1.0,6.8
1965,7,10,1.0,6.4
1995,9,10,1.0,6.7
1928,1,10,1.0,6.6
2008,2,10,1.0,8.0
2011,10,5,1.0,6.7
1977,2,10,1.0,6.9
1972,3,10,2.0,6.9
1947,8,10,1.0,6.6
2009,4,10,1.0,6.9
1982,8,10,1.0,2.7
1980,4,10,2.0,7.4
2019,5,10,1.0,6.1
2018,11,10,2.0,6.5
1992,11,10,1.0,5.0
2003,5,5,1.0,7.3
1975,12,10,1.0,8.8
2001,10,10,1.0,3.1
1970,1,6,1.0,5.7
1997,9,10,1.0,6.0
1990,11,10,1.0,4.6
1961,11,10,1.0,6.1
2017,8,10,1.0,5.9
1935,1,10,1.0,6.6
1946,9,10,1.0,6.8
1942,5,10,1.0,6.3
2025,3,10,1.0,6.7
2010,1,10,1.0,6.4
2008,4,10,1.0,7.3
1996,10,10,1.0,5.5
2022,6,10,1.0,8.2
1958,2,10,1.0,5.3
1972,11,10,1.0,6.2
1972,10,10,2.0,7.3
2017,4,9,59.0,8.3
1968,3,10,1.0,7.0
1996,8,10,2.0,7.4
1983,1,10,1.0,4.9
1970,10,10,2.0,7.3
2024,10,10,1.0,5.7
1999,6,10,1.0,4.2
1982,8,10,1.0,3.5
1952,1,10,1.0,6.4
2007,12,10,1.0,4.8
1924,10,10,1.0,6.6
1957,6,10,1.0,5.6
2013,1,10,1.0,6.2
1974,9,10,1.0,4.8
1993,10,10,1.0,4.2
1969,3,10,1.0,5.1
2010,12,5,1.0,7.2
1973,3,10,1.0,6.0
1981,7,10,1.0,5.1
1956,9,10,1.0,5.7
1994,8,10,2.0,4.7
2015,10,10,1.0,6.6
2014,8,10,1.0,6.3
1927,4,10,1.0,6.7
1970,6,10,1.0,7.0
1975,1,10,1.0,4.0
1927,11,5,1.0,1.7
1991,9,10,1.0,5.6
1939,1,10,1.0,7.5
1967,12,10,1.0,5.7
1965,9,10,1.0,5.4
1959,5,10,1.0,3.6
1977,5,10,1.0,5.8
1992,11,10,1.0,7.1
1935,12,10,1.0,7.0
2011,9,6,1.0,7.6
2017,6,10,1.0,5.2
1946,4,10,1.0,6.6
1979,12,10,1.0,5.1
1933,7,10,1.0,6.8
1931,2,10,1.0,4.1
1981,2,10,1.0,5.9
2018,8,10,1.0,6.3
2024,4,10,1.0,5.7
1937,2,10,1.0,6.9
1936,7,10,55.0,6.0
1986,8,10,1.0,6.3
1927,11,10,1.0,5.8
2013,4,5,1.0,8.0
1994,1,10,1.0,5.1
1985,5,10,1.0,6.0
1920,10,8,50.0,6.4
2000,4,10,1.0,6.9
2024,12,10,1.0,4.3
1985,3,10,1.0,6.5
1961,5,10,1.0,4.8
2023,10,10,1.0,6.2
1958,7,10,1.0,5.9
1936,10,10,1.0,6.0
1938,4,10,58.0,5.6
1983,12,10,2.0,8.3
1994,8,10,1.0,5.6
2025,3,9,1.0,6.7
2006,10,10,1.0,6.4
1947,6,10,1.0,6.5
1958,6,10,1.0,6.1
1943,3,10,57.0,5.7
2010,9,10,1.0,5.1
1989,3,10,2.0,7.1
1922,3,10,1.0,4.9
2015,5,10,1.0,4.3
1972,12,10,1.0,4.0
1983,3,10,1.0,6.2
2001,3,10,1.0,6.3
1928,9,10,1.0,7.5
2007,5,1,55.0,7.2
1958,11,10,2.0,7.3
1955,12,10,1.0,6.2
2008,5,10,1.0,6.9
1949,5,10,1.0,6.4
1978,9,10,1.0,4.1
1990,11,10,1.0,5.5
2014,12,10,1.0,7.1
2018,4,10,1.0,6.7
2009,4,6,1.0,6.1
2021,11,10,1.0,4.5
1927,12,10,1.0,6.6
1954,7,10,1.0,7.9
1949,11,10,1.0,6.0
2023,7,10,3.0,7.9
2002,11,10,1.0,7.0
1946,2,10,1.0,5.8
2024,7,10,1.0,5.4
1986,9,10,1.0,7.3
1985,3,10,1.0,4.2
1923,2,10,1.0,8.2
1931,4,8,1.0,5.4
1960,5,10,1.0,6.6
1956,9,10,1.0,5.0
1980,6,10,2.0,7.4
1978,9,10,1.0,4.9
1942,12,10,2.0,6.5
1972,9,10,1.0,5.9
2022,6,10,1.0,3.8
1987,11,10,1.0,6.6
1979,12,10,2.0,7.8
2017,2,10,1.0,6.7
1962,9,10,2.0,7.2
2019,12,10,2.0,7.2
2008,4,10,1.0,6.8
1977,9,10,1.0,4.4
1996,3,10,1.0,6.9
1985,10,10,1.0,6.5
2007,7,10,1.0,4.9
1958,3,10,1.0,6.5
1971,1,10,1.0,5.1
1940,5,10,1.0,5.6
1968,12,10,1.0,5.3
2007,6,10,1.0,7.8
1959,6,10,1.0,7.8
1970,11,10,1.0,5.7
2025,1,10,1.0,6.6
1972,6,10,1.0,6.2
2021,5,10,1.0,6.0
1975,7,9,1.0,4.7
1991,7,9,1.0,4.5
1999,7,10,1.0,6.0
1926,12,10,1.0,6.2
2002,6,10,1.0,5.6
2004,6,10,2.0,5.9
1969,9,10,1.0,6.1
2017,10,10,1.0,8.8
2007,3,10,1.0,6.8
2016,7,10,2.0,5.2
1948,4,10,59.0,7.2
1975,2,10,1.0,5.9
1952,6,10,1.0,6.1
1959,3,10,1.0,6.9
1986,1,10,1.0,4.2
1989,6,10,1.0,2.8
2014,3,10,1.0,7.1
1946,10,10,1.0,6.8
1969,9,10,1.0,6.3
2024,8,10,2.0,6.3
1991,2,10,1.0,6.3
1974,12,10,1.0,5.9
1937,1,10,1.0,5.3
2005,3,10,1.0,5.4
1990,10,10,1.0,4.5
2005,3,10,1.0,6.9
2016,10,10,1.0,6.9
1967,1,10,2.0,7.1
1977,8,10,1.0,6.4
1981,9,10,1.0,5.2
1993,12,10,1.0,7.7
1939,11,10,1.0,6.8
2022,4,10,1.0,6.1
1985,10,10,1.0,7.7
2015,5,10,1.0,6.1
1932,1,1,1.0,6.6
1983,1,10,1.0,6.3
1946,9,10,1.0,5.8
1942,11,10,1.0,7.5
1983,3,10,1.0,7.4
1972,3,10,1.0,6.0
2008,8,10,1.0,7.1
2006,7,10,1.0,5.5
2019,11,10,1.0,6.8
1967,1,10,1.0,6.4
1972,11,9,1.0,2.8
1948,9,6,1.0,4.1
2025,5,10,1.0,7.2
1964,3,10,1.0,6.3
1970,3,10,1.0,5.1
1998,9,10,1.0,5.4
2021,3,10,1.0,5.6
1954,8,10,1.0,5.5
1935,12,4,55.0,6.5
1922,9,8,53.0,3.4
1981,7,10,1.0,5.1
1984,2,10,1.0,5.8
1936,12,10,1.0,7.0
1954,2,9,1.0,5.6
1947,10,10,1.0,6.6
1992,6,10,1.0,7.7
1938,7,10,1.0,5.5
2011,6,10,1.0,3.3
1984,4,10,1.0,7.0
1945,2,10,1.0,6.7
1994,3,10,1.0,5.6
1948,10,10,1.0,6.8
1986,11,10,1.0,5.4
1924,10,10,1.0,7.0
1981,12,10,1.0,7.1
1929,2,10,1.0,6.7
1965,2,10,1.0,5.2
1983,6,10,2.0,6.2
1922,10,10,1.0,6.3
2025,2,3,1.0,7.1
1930,3,10,1.0,6.6
2010,6,10,1.0,6.0
1939,3,10,1.0,6.3
2021,12,10,1.0,5.7
1921,5,10,1.0,6.8
1937,11,10,1.0,5.5
1956,12,10,1.0,5.7
2018,8,10,1.0,5.3
2011,1,10,1.0,6.2
1989,1,10,1.0,5.5
1930,11,10,1.0,6.7
1998,3,10,1.0,6.8
1992,3,10,1.0,7.3
1999,2,10,1.0,8.1
2013,9,10,1.0,5.0
1995,10,10,1.0,6.8
1940,9,10,1.0,6.8
2000,10,10,1.0,6.0
1936,1,10,1.0,6.1
1968,11,10,1.0,6.5
